title,body,labels
"Anonymous posting toggle","As a student, I want to post anonymously so that I can share honest thoughts without revealing my identity.","user story"
"Post creation form","As a poster, I want a simple post form with title, content, and tag selector so that I can share ideas quickly.","user story"
"Tag suggestion rules","As a poster, I want tag suggestions based on my text so that I can categorize my post easily.","user story"
"Course & Professor board","As a student, I want a board to discuss professors and courses so that I can see reviews and experiences.","user story"
"Campus Life board","As a student, I want a space to discuss second-hand items or lost-and-found posts so that I can connect with peers.","user story"
"Trending board","As a reader, I want to see the most popular posts so that I can stay updated with trending campus topics.","user story"
"Tag filtering","As a reader, I want to filter posts by tag so that I can find relevant discussions faster.","user story"
"Search posts","As a reader, I want to search posts by keyword so that I can locate specific topics easily.","user story"
"Upvote system","As a reader, I want to like or upvote posts so that the most helpful or interesting ones appear first.","user story"
"Comment feature","As a student, I want to comment on posts so that I can join the discussion.","user story"
"Report post","As a user, I want to report inappropriate content so that moderators can review and maintain a safe environment.","user story"
"Admin moderation panel","As an admin, I want to view and manage reports so that I can remove posts that violate rules.","user story"
"User authentication","As a user, I want to sign up or log in so that I can create posts and interact securely.","user story"
"Anonymous display logic","As a reader, I want to see anonymous posts labeled as ‘Anonymous’ so that privacy is respected while content is visible.","user story"
"User post history","As a logged-in user, I want to see my own posts (non-anonymous ones) so that I can manage or edit them.","user story"
"Post detail view","As a reader, I want to click on a post to see its full content, tags, and timestamp so that I can read discussions clearly.","user story"
"Sorting options","As a reader, I want to sort posts by recency or upvotes so that I can browse efficiently.","user story"
"Responsive design","As a mobile user, I want the forum to display correctly on my phone so that I can browse easily anywhere.","user story"
"Admin delete posts","As an admin, I want to delete flagged or offensive posts so that the forum stays healthy.","user story"
"Deployment setup","As a developer, I want to deploy the forum on a live server so that users can access it publicly.","user story"
